date,ARKK_shares_adj,ARKQ_shares_adj,combined_shares_adj,ARKK_weight_pct,ARKQ_weight_pct,TSLA_close
2022-09-16,2736107.0,431076.0,3167183.0,9.86,12.15,303.3500061035156
2022-09-19,2738282.0,431076.0,3169358.0,10.31,12.37,309.07000732421875
2022-09-20,2744807.0,431076.0,3175883.0,10.53,12.55,308.7300109863281
2022-09-21,2813682.0,430055.0,3243737.0,10.82,12.72,300.79998779296875
2022-09-22,2805707.0,429034.0,3234741.0,10.82,12.55,288.5899963378906
2022-09-23,2788307.0,429034.0,3217341.0,10.83,12.3,275.3299865722656
2022-09-26,2791932.0,429034.0,3220966.0,10.52,12.06,276.010009765625
2022-09-27,2819482.0,429034.0,3248516.0,10.68,12.23,282.94000244140625
2022-09-28,2831807.0,429034.0,3260841.0,10.74,12.45,287.80999755859375
2022-09-29,2908657.0,426992.0,3335649.0,10.44,12.35,268.2099914550781
2022-09-30,2910832.0,426992.0,3337824.0,10.27,12.02,265.25
2022-10-03,2927507.0,424948.0,3352455.0,10.2,12.04,242.39999389648438
2022-10-04,3046762.0,424948.0,3471710.0,9.63,10.86,249.44000244140625
2022-10-05,3069382.0,425969.0,3495351.0,9.21,10.69,240.80999755859375
2022-10-06,3031030.0,425969.0,3456999.0,9.03,10.48,238.1300048828125
2022-10-07,2991174.0,425969.0,3417143.0,8.91,10.44,223.07000732421875
2022-10-10,2948310.0,424947.0,3373257.0,8.9,10.24,222.9600067138672
2022-10-11,2940790.0,424947.0,3365737.0,9.2,10.4,216.5
2022-10-12,2921238.0,424947.0,3346185.0,9.1,10.26,217.24000549316406
2022-10-13,2952070.0,424947.0,3377017.0,9.05,10.37,221.72000122070312
2022-10-14,2981398.0,420863.0,3402261.0,9.26,10.39,204.99000549316406
2022-10-17,2988918.0,420863.0,3409781.0,9.07,10.0,219.35000610351562
2022-10-18,2979142.0,419842.0,3398984.0,9.07,10.22,220.19000244140625
2022-10-19,2977638.0,417800.0,3395438.0,8.97,10.16,222.0399932861328
2022-10-20,2978390.0,416778.0,3395168.0,9.42,10.41,207.27999877929688
2022-10-21,3035556.0,416778.0,3452334.0,9.03,9.85,214.44000244140625
2022-10-24,3010212.0,416778.0,3426990.0,9.19,9.94,211.25
2022-10-25,3012519.0,427599.0,3440118.0,9.17,10.12,222.4199981689453
2022-10-26,3046311.0,427599.0,3473910.0,9.06,10.29,224.63999938964844
2022-10-27,3075495.0,427599.0,3503094.0,9.13,10.35,225.08999633789062
2022-10-28,3075495.0,427599.0,3503094.0,9.14,10.3,228.52000427246094
2022-11-01,3082407.0,426551.0,3508958.0,9.14,10.28,227.82000732421875
2022-11-02,3078567.0,426551.0,3505118.0,9.12,10.3,214.97999572753906
2022-11-03,3050151.0,425503.0,3475654.0,9.02,10.11,215.30999755859375
